Substance rA rB rX nA nB nX xX
Ba2VO4 1.47 0.58 1.4 2.0 4.0 -2.0 0.304575
Mg2SiO4 0.89 0.4 1.4 2.0 4.0 -2.0 0.304575
FeMnGeO4 0.94 0.53 1.4 2.0 4.0 -2.0 0.304575
EuNaGeO4 1.1800000000000002 0.53 1.4 2.0 4.0 -2.0 0.304575
ErNaGeO4 1.151 0.53 1.4 2.0 4.0 -2.0 0.304575
CoMnGeS4 0.93 0.53 1.84 2.0 4.0 -2.0 0.23596
CoMnGeO4 0.93 0.53 1.4 2.0 4.0 -2.0 0.304575
CaMnSiO4 1.0699999999999998 0.4 1.4 2.0 4.0 -2.0 0.304575
KCaVO4 1.365 0.54 1.4 1.5 5.0 -2.0 0.304575
CaYbInS4 1.111 0.8 1.84 2.5 3.0 -2.0 0.23596
CaYGaO4 1.1275 0.62 1.4 2.5 3.0 -2.0 0.304575
KSrAsO4 1.4300000000000002 0.46 1.4 1.5 5.0 -2.0 0.304575
CaNaAsO4 1.21 0.46 1.4 1.5 5.0 -2.0 0.304575
Sc2MgSe4 0.87 0.72 1.98 3.0 2.0 -2.0 0.2240328
Cs2MnI4 1.78 0.83 2.2 1.0 2.0 -1.0 0.2195175999999999
Zn2PdO4 0.9 0.615 1.4 2.0 4.0 -2.0 0.304575
