Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total
(exp((rB-rA))-exp((rA-rX))),0.9218338820418773,1.0427644805765064,4,5,9
(((rX-rA)/sqrt(xX))-rA),0.921846401560485,1.0777116246778937,4,4,8
((rA-rX)/(exp(rA)+exp(-rB))),0.9218834510220597,1.070418685988722,4,6,9
(exp((rB/rX))*log((rA/rX))),0.9219152499316189,1.0357375373044821,4,5,9
(exp((rB*xX))*log((rA*xX))),0.9219915594936565,1.036403305366025,4,5,9
(sqrt(exp(-rA))-(exp(-rA)/xX)),0.922028949413795,1.074306396901069,3,7,8
((xX/log(xX))+(exp(-rA)/xX)),0.9220375343208009,1.0756592514942054,4,6,9
(((rB+rX)/xX)/(exp(rA))^2),0.9220791430705486,1.0424204307636242,4,5,9
(((rB+rX)*sqrt(rX))/(rA)^2),0.9220931427032267,1.026871006356989,4,5,9
(((rB+rX))^2/(rA*exp(rA))),0.9220964831914298,1.0449088062124676,4,5,9
((log(xX)/exp(rA))/sqrt(xX)),0.9221256222203542,1.074659716548731,3,5,8
((log(xX))^2*(exp(xX)*exp(-rA))),0.9221256222203542,1.0731621589478548,3,7,9
((rA+(rB*xX))/(rB+rX)),0.9222093757718899,1.0395403846486762,5,4,9
((rB+rX)/(rA+(rB*xX))),0.9222093757718901,1.0395403846486762,5,4,9
((rB/(rA+rB))-(rA/rX)),0.9222106284827728,1.0371987512502685,5,4,9
((rA/rX)+(rA/(rA+rB))),0.9222106284827728,1.0371987512502685,5,4,9
(exp((rX-rA))-exp((rA-rB))),0.9222571274109456,1.042206225856362,4,5,9
((log(xX)/exp(rA))/(exp(xX))^2),0.922323019806774,1.0767053384299288,3,6,9
((rA*log(xX))+(rX*log(rX))),0.9224661080074776,1.0860721232930763,4,5,9
(((rA-rB)-rX)/exp(rA)),0.9224902522690034,1.0443072448441846,4,4,8
((xX*log(rA))+(exp(-rA)/xX)),0.9225213119244917,1.0732046153079515,4,6,9
((log(xX))^2/(exp(-xX)-exp(rA))),0.9225213119244918,1.073156066012875,3,7,9
(((rB+rX)/rA)-((xX)^2)^2),0.9225890510116449,1.0356001397722674,4,5,9
(((rB+rX)/rA)-(rA/rX)),0.9226423078120863,1.0337997423955425,5,4,9
(sqrt(sqrt(rX))*(exp(-rA)+exp(-xX))),0.9226904630220945,1.0839005333870677,3,8,9
((xX)^-1/((rB*xX)-rA)),0.9227672480024963,1.0352175282184324,4,5,9
