Substance,Type,Label,n,A1,A2,B1,B2,X1,X2,rA,rB,rX,xX,fold_4
LiMnAsO4,olivine,0,1,Li,Mn,As,As,O,O,0.94,0.46,1.4,0.304575,test
Mn2TiO4,spinel,0,1,Mn,Mn,Ti,Ti,O,O,0.96,0.605,1.4,0.304575,test
Zn2PdO4,spinel,0,1,Zn,Zn,Pd,Pd,O,O,0.9,0.615,1.4,0.304575,test
Ni2RhS4,spinel,0,1,Ni,Ni,Rh,Rh,S,S,0.69,0.6,1.84,0.23596,test
Sc2MgSe4,spinel,0,1,Sc,Sc,Mg,Mg,Se,Se,0.87,0.72,1.98,0.2240328,test
KSrAsO4,k2so4,0,1,K,Sr,As,As,O,O,1.4300000000000002,0.46,1.4,0.304575,test
CaLaGaO4,olivine,0,1,Ca,La,Ga,Ga,O,O,1.198,0.62,1.4,0.304575,test
CaYGaO4,olivine,0,1,Ca,Y,Ga,Ga,O,O,1.1275,0.62,1.4,0.304575,test
CaYbInS4,olivine,0,1,Ca,Yb,In,In,S,S,1.111,0.8,1.84,0.23596,test
CaMgSiO4,olivine,0,1,Ca,Mg,Si,Si,O,O,1.035,0.4,1.4,0.304575,test
CoMnGeS4,olivine,0,1,Co,Mn,Ge,Ge,S,S,0.93,0.53,1.84,0.23596,test
ErNaGeO4,olivine,0,1,Er,Na,Ge,Ge,O,O,1.151,0.53,1.4,0.304575,test
EuNaGeO4,olivine,0,1,Eu,Na,Ge,Ge,O,O,1.1800000000000002,0.53,1.4,0.304575,test
FeMnGeO4,olivine,0,1,Fe,Mn,Ge,Ge,O,O,0.94,0.53,1.4,0.304575,test
Ba2VO4,k2so4,0,1,Ba,Ba,V,V,O,O,1.47,0.58,1.4,0.304575,test
CdNaAsO4,olivine,0,1,Cd,Na,As,As,O,O,1.17,0.46,1.4,0.304575,test
RbBaVO4,k2so4,0,1,Rb,Ba,V,V,O,O,1.5499999999999998,0.54,1.4,0.304575,test
Fe2GeO4,spinel,0,1,Fe,Fe,Ge,Ge,O,O,0.92,0.53,1.4,0.304575,test
GdNaGeO4,olivine,0,1,Gd,Na,Ge,Ge,O,O,1.1735,0.53,1.4,0.304575,test
HoNaGeO4,olivine,0,1,Ho,Na,Ge,Ge,O,O,1.156,0.53,1.4,0.304575,test
LiInGeO4,olivine,0,1,Li,In,Ge,Ge,O,O,0.92,0.53,1.4,0.304575,test
Li2MnBr2Cl2,spinel,0,1,Li,Li,Mn,Mn,Br,Cl,0.92,0.83,1.885,0.2525304,test
Yb2ZnS4,olivine,0,1,Yb,Yb,Zn,Zn,S,S,1.042,0.74,1.84,0.23596,test
Tm2CdS4,spinel,0,1,Tm,Tm,Cd,Cd,S,S,1.052,0.95,1.84,0.23596,train
Tm2ZnS4,olivine,0,1,Tm,Tm,Zn,Zn,S,S,1.052,0.74,1.84,0.23596,test
K2SrCl4,th3p4,0,1,K,K,Sr,Sr,Cl,Cl,1.55,1.18,1.81,0.263803,train
Pr2EuSe4,th3p4,0,1,Pr,Pr,Eu,Eu,Se,Se,1.179,1.17,1.98,0.2240328,train
MnNaAsO4,olivine,0,1,Mn,Na,As,As,O,O,1.1,0.46,1.4,0.304575,train
Tm2MgSe4,spinel,0,1,Tm,Tm,Mg,Mg,Se,Se,1.052,0.72,1.98,0.2240328,train
Tl2CoCl4,k2so4,0,1,Tl,Tl,Co,Co,Cl,Cl,1.59,0.745,1.81,0.263803,train
Pr2CdSe4,th3p4,0,1,Pr,Pr,Cd,Cd,Se,Se,1.179,0.95,1.98,0.2240328,train
Ce2EuSe4,th3p4,0,1,Ce,Ce,Eu,Eu,Se,Se,1.196,1.17,1.98,0.2240328,train
K2PbCl4,th3p4,0,1,K,K,Pb,Pb,Cl,Cl,1.55,1.19,1.81,0.263803,train
