Substance,Label,n,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,fold_2
SrPrCrO4,1.0,1.0,1.2445,0.615,1.4,2.5,3.0,-2.0,0.1452941,0.1313053,0.304575,5.5839336,6.76651,13.618054,3.5,6.0,6.0,train
Rb2MnBr4,1.0,1.0,1.63,0.83,1.96,1.0,2.0,-1.0,0.104686,0.1352844,0.2412578,4.177128,7.434018,11.81381,1.0,7.0,7.0,train
Rb2HgF4,1.0,1.0,1.63,1.02,1.33,1.0,2.0,-1.0,0.104686,0.169,0.344443,4.177128,10.437504,17.42282,1.0,12.0,7.0,train
K2MgF4,1.0,1.0,1.55,0.72,1.33,1.0,2.0,-1.0,0.0981896,0.121644,0.344443,4.34066354,7.646235,17.42282,1.0,2.0,7.0,train
Rb2MgCl4,1.0,1.0,1.63,0.72,1.81,1.0,2.0,-1.0,0.104686,0.121644,0.263803,4.177128,7.646235,12.96763,1.0,2.0,7.0,train
Sr2CrO4,1.0,1.0,1.31,0.55,1.4,2.0,4.0,-2.0,0.1185082,0.1313053,0.304575,5.6948672,6.76651,13.618054,2.0,6.0,6.0,train
Sr2CoO4,1.0,1.0,1.31,0.53,1.4,2.0,4.0,-2.0,0.1185082,0.1432363,0.304575,5.6948672,7.88101,13.618054,2.0,9.0,6.0,train
Ba2ZrS4,1.0,1.0,1.47,0.72,1.84,2.0,4.0,-2.0,0.1586786,0.1248887,0.23596,5.211664,6.6339,10.36001,2.0,4.0,6.0,train
Ba2SnO4,1.0,1.0,1.47,0.69,1.4,2.0,4.0,-2.0,0.1586786,0.178052,0.304575,5.211664,7.343917,13.618054,2.0,4.0,6.0,train
Ba2HfS4,1.0,1.0,1.47,0.71,1.84,2.0,4.0,-2.0,0.1586786,0.229987,0.23596,5.211664,6.82507,10.36001,2.0,4.0,6.0,train
Cs2HgF4,1.0,1.0,1.78,1.02,1.33,1.0,2.0,-1.0,0.1542125,0.169,0.344443,3.893905548,10.437504,17.42282,1.0,12.0,7.0,train
Cs2MnF4,1.0,1.0,1.78,0.83,1.33,1.0,2.0,-1.0,0.1542125,0.1352844,0.344443,3.893905548,7.434018,17.42282,1.0,7.0,7.0,train
