Substance,Label,n,rA,rB,rX,nA,nB,nX,xX,fold_5
Rb2MoSe4,0.0,1.0,1.63,0.59,1.98,1.0,6.0,-2.0,0.2240328,train
Mn2SiS4,0.0,1.0,0.96,0.4,1.84,2.0,4.0,-2.0,0.23596,train
Tm2MnS4,0.0,1.0,1.052,0.83,1.84,3.0,2.0,-2.0,0.23596,train
Mn2SiSe4,0.0,1.0,0.96,0.4,1.98,2.0,4.0,-2.0,0.2240328,train
Yb2MnSe4,0.0,1.0,1.042,0.83,1.98,3.0,2.0,-2.0,0.2240328,train
Na2WO4,0.0,1.0,1.24,0.6,1.4,1.0,6.0,-2.0,0.304575,train
Ho2MgSe4,0.0,1.0,1.072,0.72,1.98,3.0,2.0,-2.0,0.2240328,train
V2FeO4,0.0,1.0,0.79,0.645,1.4,2.5,3.0,-2.0,0.304575,train
Fe2SiO4,0.0,1.0,0.92,0.4,1.4,2.0,4.0,-2.0,0.304575,train
Tb2CdS4,0.0,1.0,1.095,0.95,1.84,3.0,2.0,-2.0,0.23596,train
Yb2CdSe4,0.0,1.0,1.042,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
La2CdSe4,0.0,1.0,1.216,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
La2CdTe4,0.0,1.0,1.216,0.95,2.21,3.0,2.0,-2.0,0.2056992,train
Lu2CdS4,0.0,1.0,1.032,0.95,1.84,3.0,2.0,-2.0,0.23596,train
Sc2MnS4,0.0,1.0,0.87,0.83,1.84,3.0,2.0,-2.0,0.23596,train
Mn2VO4,0.0,1.0,0.96,0.58,1.4,2.0,4.0,-2.0,0.304575,train
Zn2PtO4,0.0,1.0,0.9,0.625,1.4,2.0,4.0,-2.0,0.304575,train
Mn2NiO4,0.0,1.0,0.96,0.48,1.4,2.0,4.0,-2.0,0.304575,train
Ni2SiO4,0.0,1.0,0.69,0.4,1.4,2.0,4.0,-2.0,0.304575,train
Nd2YbS4,0.0,1.0,1.163,1.02,1.84,3.0,2.0,-2.0,0.23596,train
Mg2GeS4,0.0,1.0,0.89,0.53,1.84,2.0,4.0,-2.0,0.23596,train
