Substance,f.e,n,rA,rB,rX,xX,fold_3
Yb2CaS4,4.083414606249997,1.0,1.042,1.0,1.84,0.23596,train
Tl2CoBr4,0.4264120399999971,1.0,1.59,0.745,1.96,0.2412578,train
K2CoBr4,1.0280096699999994,1.0,1.55,0.745,1.96,0.2412578,train
Cs2CoBr4,0.3034821299999972,1.0,1.78,0.745,1.96,0.2412578,train
Cs2CdBr4,-0.2256140150000014,1.0,1.78,0.95,1.96,0.2412578,train
Bi2YbTe4,3.411547970000001,1.0,1.17,1.02,2.21,0.2056992,train
Bi2EuTe4,3.4367179399999976,1.0,1.17,1.17,2.21,0.2056992,train
Rh2BeO4,5.8176276825,1.0,0.665,0.45,1.4,0.304575,train
Tl2BeF4,0.679257513333333,1.0,1.59,0.45,1.33,0.344443,train
NdGaCuO4,3.322164811875,1.0,0.8915,0.73,1.4,0.304575,train
EuNdCuO4,0.3730836512499991,1.0,1.1415000000000002,0.73,1.4,0.304575,train
EuGdCuO4,0.5609833818749976,1.0,1.1135000000000002,0.73,1.4,0.304575,train
Nd2CaS4,3.388819005,1.0,1.163,1.0,1.84,0.23596,train
Rb2BeF4,0.6177818783333322,1.0,1.63,0.45,1.33,0.344443,train
K2BeF4,0.4599350283333336,1.0,1.55,0.45,1.33,0.344443,train
Cr2BeO4,4.822935619999999,1.0,0.615,0.45,1.4,0.304575,train
Ho2CuO4,1.7121356187500003,1.0,1.072,0.73,1.4,0.304575,train
Tm2CuO4,1.6349389712499978,1.0,1.052,0.73,1.4,0.304575,train
Y2CuO4,1.5229279199999972,1.0,1.075,0.73,1.4,0.304575,train
Gd2PdO4,2.9964557550000013,1.0,1.107,0.86,1.4,0.304575,train
La2PdO4,1.6384036537499984,1.0,1.216,0.86,1.4,0.304575,train
Nd2PdO4,2.175194293749998,1.0,1.163,0.86,1.4,0.304575,train
Sm2PdO4,1.9648269324999976,1.0,1.132,0.86,1.4,0.304575,train
Rb2CoBr4,0.3659380599999995,1.0,1.63,0.745,1.96,0.2412578,train
Rb2CoI4,0.7454215600000005,1.0,1.63,0.745,2.2,0.2195175999999999,train
Fe2CoO4,2.4672154125000034,1.0,0.78,0.745,1.4,0.304575,train
Rb2ZnCl4,-0.063887004999998,1.0,1.63,0.74,1.81,0.263803,train
Na2ZnCl4,0.9626974549999988,1.0,1.24,0.74,1.81,0.263803,train
Mn2CoO4,0.605810505000008,1.0,0.96,0.53,1.4,0.304575,train
Gd2CrS4,1.3906711074999922,1.0,1.107,0.8,1.84,0.23596,train
In2CrS4,2.4146656137500013,1.0,0.92,0.8,1.84,0.23596,train
K2CrO4,-1.6041385549999987,1.0,1.55,0.44,1.4,0.304575,train
La2EuSe4,3.4543484724999978,1.0,1.216,1.17,1.98,0.2240328,train
Er2ZnS4,2.7821574492857097,1.0,1.062,0.74,1.84,0.23596,train
Dy2YbS4,4.119369745000002,1.0,1.083,1.02,1.84,0.23596,train
Co2GeO4,3.445280188333335,1.0,0.9,0.53,1.4,0.304575,train
In2CoS4,2.98610938375,1.0,0.92,0.745,1.84,0.23596,train
Lu2CaO4,5.171743633750003,1.0,1.032,1.0,1.4,0.304575,train
Ni2CoS4,4.653618091666669,1.0,0.69,0.53,1.84,0.23596,train
Gd2CdTe4,3.684888719999997,1.0,1.107,0.95,2.21,0.2056992,train
Gd2CdSe4,3.6066107700000014,1.0,1.107,0.95,1.98,0.2240328,train
Gd2CdS4,3.552010452499994,1.0,1.107,0.95,1.84,0.23596,train
Er2CdSe4,3.273750772500001,1.0,1.062,0.95,1.98,0.2240328,train
Er2CdS4,3.513678609999994,1.0,1.062,0.95,1.84,0.23596,train
Dy2CdSe4,3.5685611075000017,1.0,1.083,0.95,1.98,0.2240328,train
Dy2CdS4,3.610968449999996,1.0,1.083,0.95,1.84,0.23596,train
