Compound,Type,Label,n,criterion,t_RP,p_Label,A1,A2,B1,B2,X1,X2,cnA1,cnA2,cnB1,cnB2,cnX,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,Source,train,Substance
NaDyTiO4,RP,1,1,1.83,1.792514121,1,Na,Dy,Ti,Ti,O,O,9,9,6,6,6,1.1615,0.605,1.4,2.0,4.0,-2.0,0.148272,0.1233637,0.304575,5.53906335,6.82812,13.618054,6.5,4.0,6.0,Handbook,True,NaDyTiO4
KLaTiO4,RP,1,1,1.83,1.712566758,1,K,La,Ti,Ti,O,O,9,9,6,6,6,1.383,0.605,1.4,2.0,4.0,-2.0,0.1306658,0.1233637,0.304575,4.95878177,6.82812,13.618054,2.0,4.0,6.0,Handbook,True,KLaTiO4
SrGdCoO4,RP,1,1,1.83,1.769733396,1,Sr,Gd,Co,Co,O,O,9,9,6,6,6,1.2085,0.61,1.4,2.5,3.0,-2.0,0.1564541,0.1432363,0.304575,5.9223316,7.88101,13.618054,6.0,9.0,6.0,Handbook,True,SrGdCoO4
SrNdCoO4,RP,1,1,1.83,1.758325252,1,Sr,Nd,Co,Co,O,O,9,9,6,6,6,1.2365,0.61,1.4,2.5,3.0,-2.0,0.1475236,0.1432363,0.304575,5.6099336,7.88101,13.618054,4.0,9.0,6.0,Handbook,True,SrNdCoO4
SrSmCoO4,RP,1,1,1.83,1.764543461,1,Sr,Sm,Co,Co,O,O,9,9,6,6,6,1.221,0.61,1.4,2.5,3.0,-2.0,0.1519881,0.1432363,0.304575,5.6692886,7.88101,13.618054,5.0,9.0,6.0,Handbook,True,SrSmCoO4
SrDyCrO4,RP,1,1,1.83,1.772977022,1,Sr,Dy,Cr,Cr,O,O,9,9,6,6,6,1.1965,0.615,1.4,2.5,3.0,-2.0,0.1609191,0.1313053,0.304575,5.8169586,6.76651,13.618054,7.0,6.0,6.0,Handbook,True,SrDyCrO4
SrCeVO4,RP,1,1,1.83,1.73991017,1,Sr,Ce,V,V,O,O,9,9,6,6,6,1.253,0.64,1.4,2.5,3.0,-2.0,0.1430591,0.1273344,0.304575,5.6167336,6.746187,13.618054,3.0,5.0,6.0,Handbook,True,SrCeVO4
BaLaScO4,RP,1,1,1.83,1.678560599,1,Ba,La,Sc,Sc,O,O,9,9,6,6,6,1.343,0.745,1.4,2.5,3.0,-2.0,0.1609103,0.1193833,0.304575,5.394282,6.56149,13.618054,2.5,3.0,6.0,Handbook,True,BaLaScO4
BaLaMnO4,RP,1,1,1.83,1.703933563,1,Ba,La,Mn,Mn,O,O,9,9,6,6,6,1.343,0.645,1.4,2.5,3.0,-2.0,0.1609103,0.1352844,0.304575,5.394282,7.434018,13.618054,2.5,7.0,6.0,Handbook,True,BaLaMnO4
BaLaFeO4,RP,1,1,1.83,1.703933563,1,Ba,La,Fe,Fe,O,O,9,9,6,6,6,1.343,0.645,1.4,2.5,3.0,-2.0,0.1609103,0.1392532,0.304575,5.394282,7.9024678,13.618054,2.5,8.0,6.0,Handbook,True,BaLaFeO4
CaLaAlO4,RP,1,1,1.83,1.817091132,1,Ca,La,Al,Al,O,O,9,9,6,6,6,1.198,0.535,1.4,2.5,3.0,-2.0,0.13927695,0.150078,0.304575,5.8450276,5.9857684,13.618054,2.5,3.0,6.0,Handbook,True,CaLaAlO4
CaNdAlO4,RP,1,1,1.83,1.826215692,1,Ca,Nd,Al,Al,O,O,9,9,6,6,6,1.1715,0.535,1.4,2.5,3.0,-2.0,0.14597545,0.150078,0.304575,5.8190776,5.9857684,13.618054,4.0,3.0,6.0,Handbook,True,CaNdAlO4
