Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total
(exp((rA/rX))-exp(-rB)),0.8676470588235294,0.7688815789473684,3,5,7
((rX/(rA*xX))/(rA+rB)),0.8676470588235294,0.7688815789473684,5,4,9
(log((rA/rX))*(rX/sqrt(rA))),0.8676470588235294,0.7856798245614035,4,5,9
(((rA-rX)*sqrt(rX))/rA),0.8676470588235294,0.7856798245614035,4,4,8
(((rA+rX)/rA)+sqrt(exp(-rB))),0.8676470588235294,0.7688815789473684,4,6,9
(((rA*rB)/rX)-(rX-rA)),0.8676470588235294,0.7688815789473684,5,4,9
((exp(-rA)/(xX)^2)/sqrt(exp(rB))),0.8676470588235294,0.7688815789473684,3,7,9
((rA-rX)/sqrt((rB+rX))),0.8676470588235294,0.783640350877193,4,4,8
(exp((rX-rA))/exp(-(rX/rA))),0.8676470588235294,0.7836184210526316,4,6,9
((rA)^2/(exp(rX)-exp(xX))),0.8676470588235294,0.7836184210526316,3,5,8
(((rA-rX)/rA)*exp(sqrt(rA))),0.8676470588235294,0.7836184210526316,4,5,9
(((rA)^2+(rB)^2)/log(rX)),0.8676470588235294,0.7836184210526316,3,5,8
(sqrt((rB*xX))/((rA-rX))^2),0.8676470588235294,0.7689035087719297,4,5,9
((rB/log(xX))-(rA-rX)),0.8676470588235294,0.783640350877193,4,4,8
((rA-rX)/(sqrt(rB)+sqrt(rX))),0.8676470588235294,0.783640350877193,4,5,9
((xX*exp(rA))/sqrt((rX-rB))),0.8676470588235294,0.7688815789473684,4,5,9
((rA-rX)*(xX/sqrt(rB))),0.8676470588235294,0.7835745614035089,4,4,8
((rA-rX)/sqrt((rA+rB))),0.8676470588235294,0.783640350877193,4,4,8
(((rA-rX))^2/(rB/rX)),0.8676470588235294,0.7836622807017545,4,4,8
((rB/rX)/((rA-rX))^2),0.8676470588235294,0.7836622807017545,4,4,8
(exp((rA/rX))+exp(-(rB)^-1)),0.8676470588235294,0.7688815789473684,3,7,9
