Substance f.e rA rB rX xX
Dy2CdTe4 3.443128022499999 1.083 0.95 2.21 0.2056992
Dy2CdSe4 3.5685611075000017 1.083 0.95 1.98 0.2240328
Dy2CdS4 3.610968449999996 1.083 0.95 1.84 0.23596
Cs2CdI4 0.2235674990000014 1.78 0.95 2.2 0.2195175999999999
Li2ZnI4 2.426775114999998 0.92 0.74 2.2 0.2195175999999999
Ce2CdS4 2.850459932500004 1.196 0.95 1.84 0.23596
Ca2SnS4 2.60059697 1.18 0.69 1.84 0.23596
Cd2GeO4 0.9497311933333314 1.1 0.53 1.4 0.304575
Cs2BaBr4 0.6090233850000004 1.78 1.35 1.96 0.2412578
Rb2MnI4 0.2465807999999985 1.63 0.83 2.2 0.2195175999999999
FeMnSiO4 1.3442468850000076 0.94 0.4 1.4 0.304575
Rb2MoSe4 -0.0084185199999957 1.63 0.59 1.98 0.2240328
Mn2SiS4 4.004382925000002 0.96 0.4 1.84 0.23596
Tm2MnS4 0.917461383750002 1.052 0.83 1.84 0.23596
Yb2MnS4 0.2928272812500019 1.042 0.83 1.84 0.23596
Sc2MnSe4 3.4878566975000016 0.87 0.83 1.98 0.2240328
Mn2SiSe4 3.423557009999996 0.96 0.4 1.98 0.2240328
Yb2MnSe4 0.4243611087499968 1.042 0.83 1.98 0.2240328
Rb2MoS4 -0.5928716000000023 1.63 0.59 1.84 0.23596
Na2WO4 -1.91884048 1.24 0.6 1.4 0.304575
V2FeO4 3.6193372099999976 0.79 0.645 1.4 0.304575
Fe2SiO4 2.349869125000005 0.92 0.4 1.4 0.304575
Tb2CdS4 3.706403752499997 1.095 0.95 1.84 0.23596
Yb2CdSe4 2.93298774375 1.042 0.95 1.98 0.2240328
La2CdSe4 2.4162345825000022 1.216 0.95 1.98 0.2240328
La2CdTe4 2.793374741249999 1.216 0.95 2.21 0.2056992
Sc2MnS4 3.3935732274999992 0.87 0.83 1.84 0.23596
Mn2VO4 0.6056818899999996 0.96 0.58 1.4 0.304575
Lu2MgSe4 3.1812012424999967 1.032 0.72 1.98 0.2240328
Zn2PtO4 4.32834626 0.9 0.625 1.4 0.304575
Mn2NiO4 0.2672748600000041 0.96 0.48 1.4 0.304575
Ni2SnO4 3.8394245850000033 0.69 0.69 1.4 0.304575
